Year,Year ending,Local Government Area,Sex,Harm Caused Flag,Victim Reports
2022,December,Mornington Peninsula,Females,Low Harm,"1,031"
2022,December,Mornington Peninsula,Females,Medium Harm,461
2022,December,Mornington Peninsula,Males,High Harm,272
2022,December,Mornington Peninsula,Males,Low Harm,"1,237"
2022,December,Mornington Peninsula,Males,Medium Harm,424
2022,December,Mount Alexander,Females,High Harm,27
2022,December,Mount Alexander,Females,Low Harm,87
2022,December,Mount Alexander,Females,Medium Harm,50
2022,December,Mount Alexander,Males,High Harm,19
2022,December,Mount Alexander,Males,Low Harm,112
2022,December,Mount Alexander,Males,Medium Harm,50
2022,December,Moyne,Females,High Harm,40
2022,December,Moyne,Females,Low Harm,65
2022,December,Moyne,Females,Medium Harm,24
2022,December,Moyne,Males,High Harm,22
2022,December,Moyne,Males,Low Harm,83
2022,December,Moyne,Males,Medium Harm,31
2022,December,Murrindindi,Females,High Harm,27
2022,December,Murrindindi,Females,Low Harm,67
2022,December,Murrindindi,Females,Medium Harm,49
2022,December,Murrindindi,Males,High Harm,12
2022,December,Murrindindi,Males,Low Harm,106
2022,December,Murrindindi,Males,Medium Harm,39
2022,December,Nillumbik,Females,High Harm,63
2022,December,Nillumbik,Females,Low Harm,191
2022,December,Nillumbik,Females,Medium Harm,112
2022,December,Nillumbik,Males,High Harm,58
2022,December,Nillumbik,Males,Low Harm,211
2022,December,Nillumbik,Males,Medium Harm,92
2022,December,Northern Grampians,Females,High Harm,37
2022,December,Northern Grampians,Females,Low Harm,72
2022,December,Northern Grampians,Females,Medium Harm,61
2022,December,Northern Grampians,Males,High Harm,30
2022,December,Northern Grampians,Males,Low Harm,95
2022,December,Northern Grampians,Males,Medium Harm,69
2022,December,Port Phillip,Females,High Harm,366
2022,December,Port Phillip,Females,Low Harm,"1,721"
2022,December,Port Phillip,Females,Medium Harm,553
2022,December,Port Phillip,Males,High Harm,384
2022,December,Port Phillip,Males,Low Harm,"2,530"
2022,December,Port Phillip,Males,Medium Harm,705
2022,December,Pyrenees,Females,High Harm,14
2022,December,Pyrenees,Females,Low Harm,35
2022,December,Pyrenees,Females,Medium Harm,26
2022,December,Pyrenees,Males,High Harm,5
2022,December,Pyrenees,Males,Low Harm,50
2022,December,Pyrenees,Males,Medium Harm,26
2022,December,Queenscliffe,Females,High Harm,
2022,December,Queenscliffe,Females,Low Harm,25
2022,December,Queenscliffe,Males,High Harm,
2022,December,Queenscliffe,Males,Low Harm,28
2022,December,Queenscliffe,Males,Medium Harm,5
2022,December,South Gippsland,Females,High Harm,102
2022,December,South Gippsland,Females,Low Harm,156
2022,December,South Gippsland,Females,Medium Harm,119
2022,December,South Gippsland,Males,High Harm,55
2022,December,South Gippsland,Males,Low Harm,198
2022,December,South Gippsland,Males,Medium Harm,88
2022,December,Southern Grampians,Females,High Harm,58
2022,December,Southern Grampians,Females,Low Harm,96
2022,December,Southern Grampians,Females,Medium Harm,70
2022,December,Southern Grampians,Males,High Harm,38
2022,December,Southern Grampians,Males,Low Harm,95
2022,December,Southern Grampians,Males,Medium Harm,56
2022,December,Stonnington,Females,High Harm,346
2022,December,Stonnington,Females,Low Harm,"1,617"
2022,December,Stonnington,Females,Medium Harm,379
2022,December,Stonnington,Males,High Harm,409
2022,December,Stonnington,Males,Low Harm,"2,057"
2022,December,Stonnington,Males,Medium Harm,549
2022,December,Strathbogie,Females,High Harm,25
2022,December,Strathbogie,Females,Low Harm,51
2022,December,Strathbogie,Females,Medium Harm,31
2022,December,Strathbogie,Males,High Harm,7
2022,December,Strathbogie,Males,Low Harm,57
2022,December,Strathbogie,Males,Medium Harm,32
2022,December,Surf Coast,Females,High Harm,43
2022,December,Surf Coast,Females,Low Harm,122
2022,December,Surf Coast,Females,Medium Harm,65
2022,December,Surf Coast,Males,High Harm,49
2022,December,Surf Coast,Males,Low Harm,189
2022,December,Surf Coast,Males,Medium Harm,57
2022,December,Swan Hill,Females,High Harm,105
2022,December,Swan Hill,Females,Low Harm,138
2022,December,Swan Hill,Females,Medium Harm,106
2022,December,Swan Hill,Males,High Harm,86
2022,December,Swan Hill,Males,Low Harm,185
2022,December,Swan Hill,Males,Medium Harm,102
2022,December,Towong,Females,High Harm,12
2022,December,Towong,Females,Low Harm,18
2022,December,Towong,Females,Medium Harm,23
2022,December,Towong,Males,High Harm,4
2022,December,Towong,Males,Low Harm,23
2022,December,Towong,Males,Medium Harm,9
2022,December,Wangaratta,Females,High Harm,94
2022,December,Wangaratta,Females,Low Harm,169
2022,December,Wangaratta,Females,Medium Harm,109
2022,December,Wangaratta,Males,High Harm,74
2022,December,Wangaratta,Males,Low Harm,231
2022,December,Wangaratta,Males,Medium Harm,112
2022,December,Warrnambool,Females,High Harm,100
2022,December,Warrnambool,Females,Low Harm,231
2022,December,Warrnambool,Females,Medium Harm,168
2022,December,Warrnambool,Males,High Harm,82
2022,December,Warrnambool,Males,Low Harm,236
2022,December,Warrnambool,Males,Medium Harm,101
2022,December,Wellington,Females,High Harm,224
2022,December,Wellington,Females,Low Harm,371
2022,December,Wellington,Females,Medium Harm,277
2022,December,Wellington,Males,High Harm,158
2022,December,Wellington,Males,Low Harm,502
2022,December,Wellington,Males,Medium Harm,203
2022,December,West Wimmera,Females,High Harm,
2022,December,West Wimmera,Females,Low Harm,12
2022,December,West Wimmera,Females,Medium Harm,8
2022,December,West Wimmera,Males,High Harm,
2022,December,West Wimmera,Males,Low Harm,9
2022,December,West Wimmera,Males,Medium Harm,8
2022,December,Whitehorse,Females,High Harm,255
2022,December,Whitehorse,Females,Low Harm,"1,046"
2022,December,Whitehorse,Females,Medium Harm,435
2022,December,Whitehorse,Males,High Harm,215
2022,December,Whitehorse,Males,Low Harm,"1,392"
2022,December,Whitehorse,Males,Medium Harm,448
2022,December,Whittlesea,Females,High Harm,349
2022,December,Whittlesea,Females,Low Harm,"1,067"
2022,December,Whittlesea,Females,Medium Harm,856
2022,December,Whittlesea,Males,High Harm,369
2022,December,Whittlesea,Males,Low Harm,"1,501"
2022,December,Whittlesea,Males,Medium Harm,697
2022,December,Wodonga,Females,High Harm,181
2022,December,Wodonga,Females,Low Harm,370
2022,December,Wodonga,Females,Medium Harm,215
2022,December,Wodonga,Males,High Harm,104
2022,December,Wodonga,Males,Low Harm,453
2022,December,Wodonga,Males,Medium Harm,160
2022,December,Wyndham,Females,High Harm,750
2022,December,Wyndham,Females,Low Harm,"1,863"
2022,December,Wyndham,Females,Medium Harm,"1,198"
2022,December,Wyndham,Males,High Harm,622
2022,December,Wyndham,Males,Low Harm,"2,668"
2022,December,Wyndham,Males,Medium Harm,935
2022,December,Yarra,Females,High Harm,348
2022,December,Yarra,Females,Low Harm,"1,756"
2022,December,Yarra,Females,Medium Harm,450
2022,December,Yarra,Males,High Harm,420
2022,December,Yarra,Males,Low Harm,"2,159"
2022,December,Yarra,Males,Medium Harm,602
2022,December,Yarra Ranges,Females,High Harm,346
2022,December,Yarra Ranges,Females,Low Harm,607
2022,December,Yarra Ranges,Females,Medium Harm,437
2022,December,Yarra Ranges,Males,High Harm,218
2022,December,Yarra Ranges,Males,Low Harm,670
2022,December,Yarra Ranges,Males,Medium Harm,376
2022,December,Yarriambiack,Females,High Harm,20
2022,December,Yarriambiack,Females,Low Harm,36
2022,December,Yarriambiack,Females,Medium Harm,29
2022,December,Yarriambiack,Males,High Harm,13
2022,December,Yarriambiack,Males,Low Harm,60
2022,December,Yarriambiack,Males,Medium Harm,19
2021,December,Alpine,Females,High Harm,28
2021,December,Alpine,Females,Low Harm,30
2021,December,Alpine,Females,Medium Harm,19
2021,December,Alpine,Males,High Harm,19
2021,December,Alpine,Males,Low Harm,69
2021,December,Alpine,Males,Medium Harm,24
2021,December,Ararat,Females,High Harm,62
2021,December,Ararat,Females,Low Harm,90
2021,December,Ararat,Females,Medium Harm,68
2021,December,Ararat,Males,High Harm,40
2021,December,Ararat,Males,Low Harm,156
2021,December,Ararat,Males,Medium Harm,66
2021,December,Ballarat,Females,High Harm,355
2021,December,Ballarat,Females,Low Harm,"1,217"
2021,December,Ballarat,Females,Medium Harm,494
2021,December,Ballarat,Males,High Harm,307
2021,December,Ballarat,Males,Low Harm,"1,502"
2021,December,Ballarat,Males,Medium Harm,541
2021,December,Banyule,Females,High Harm,224
2021,December,Banyule,Females,Low Harm,785
2021,December,Banyule,Females,Medium Harm,328
2021,December,Banyule,Males,High Harm,200
2021,December,Banyule,Males,Low Harm,"1,023"
2021,December,Banyule,Males,Medium Harm,341
2021,December,Bass Coast,Females,High Harm,152
2021,December,Bass Coast,Females,Low Harm,285
2021,December,Bass Coast,Females,Medium Harm,200
2021,December,Bass Coast,Males,High Harm,130
2021,December,Bass Coast,Males,Low Harm,374
2021,December,Bass Coast,Males,Medium Harm,139
2021,December,Baw Baw,Females,High Harm,225
2021,December,Baw Baw,Females,Low Harm,366
2021,December,Baw Baw,Females,Medium Harm,250
2021,December,Baw Baw,Males,High Harm,138
2021,December,Baw Baw,Males,Low Harm,407
2021,December,Baw Baw,Males,Medium Harm,180
2021,December,Bayside,Females,High Harm,167
2021,December,Bayside,Females,Low Harm,689
2021,December,Bayside,Females,Medium Harm,212
2021,December,Bayside,Males,High Harm,159
2021,December,Bayside,Males,Low Harm,908
2021,December,Bayside,Males,Medium Harm,155
2021,December,Benalla,Females,High Harm,62
2021,December,Benalla,Females,Low Harm,118
2021,December,Benalla,Females,Medium Harm,93
2021,December,Benalla,Males,High Harm,50
2021,December,Benalla,Males,Low Harm,153
2021,December,Benalla,Males,Medium Harm,72
2021,December,Boroondara,Females,High Harm,212
2021,December,Boroondara,Females,Low Harm,"1,084"
2021,December,Boroondara,Females,Medium Harm,295
2021,December,Boroondara,Males,High Harm,211
2021,December,Boroondara,Males,Low Harm,"1,570"
2021,December,Boroondara,Males,Medium Harm,334
2021,December,Brimbank,Females,High Harm,500
2021,December,Brimbank,Females,Low Harm,"1,770"
2021,December,Brimbank,Females,Medium Harm,818
2021,December,Brimbank,Males,High Harm,576
2021,December,Brimbank,Males,Low Harm,"2,787"
2021,December,Brimbank,Males,Medium Harm,825
2021,December,Buloke,Females,High Harm,16
2021,December,Buloke,Females,Low Harm,15
2021,December,Buloke,Females,Medium Harm,13
2021,December,Buloke,Males,High Harm,14
2021,December,Buloke,Males,Low Harm,31
2021,December,Buloke,Males,Medium Harm,16
2021,December,Campaspe,Females,High Harm,110
2021,December,Campaspe,Females,Low Harm,267
2021,December,Campaspe,Females,Medium Harm,137
2021,December,Campaspe,Males,High Harm,115
2021,December,Campaspe,Males,Low Harm,358
2021,December,Campaspe,Males,Medium Harm,108
2021,December,Cardinia,Females,High Harm,239
2021,December,Cardinia,Females,Low Harm,659
2021,December,Cardinia,Females,Medium Harm,402
2021,December,Cardinia,Males,High Harm,205
2021,December,Cardinia,Males,Low Harm,799
2021,December,Cardinia,Males,Medium Harm,328
2021,December,Casey,Females,High Harm,736
2021,December,Casey,Females,Low Harm,"1,976"
2021,December,Casey,Females,Medium Harm,"1,370"
2021,December,Casey,Males,High Harm,676
2021,December,Casey,Males,Low Harm,"2,587"
2021,December,Casey,Males,Medium Harm,"1,057"
2021,December,Central Goldfields,Females,High Harm,59
2021,December,Central Goldfields,Females,Low Harm,114
2021,December,Central Goldfields,Females,Medium Harm,86
2021,December,Central Goldfields,Males,High Harm,29
2021,December,Central Goldfields,Males,Low Harm,118
2021,December,Central Goldfields,Males,Medium Harm,67
2021,December,Colac-Otway,Females,High Harm,58
2021,December,Colac-Otway,Females,Low Harm,139
2021,December,Colac-Otway,Females,Medium Harm,91
2021,December,Colac-Otway,Males,High Harm,47
2021,December,Colac-Otway,Males,Low Harm,177
2021,December,Colac-Otway,Males,Medium Harm,51
2021,December,Corangamite,Females,High Harm,43
2021,December,Corangamite,Females,Low Harm,76
2021,December,Corangamite,Females,Medium Harm,45
2021,December,Corangamite,Males,High Harm,21
2021,December,Corangamite,Males,Low Harm,117
2021,December,Corangamite,Males,Medium Harm,47
2021,December,Darebin,Females,High Harm,324
2021,December,Darebin,Females,Low Harm,"1,508"
2021,December,Darebin,Females,Medium Harm,543
2021,December,Darebin,Males,High Harm,322
2021,December,Darebin,Males,Low Harm,"2,098"
2021,December,Darebin,Males,Medium Harm,621
2021,December,East Gippsland,Females,High Harm,236
2021,December,East Gippsland,Females,Low Harm,416
2021,December,East Gippsland,Females,Medium Harm,341
2021,December,East Gippsland,Males,High Harm,171
2021,December,East Gippsland,Males,Low Harm,501
2021,December,East Gippsland,Males,Medium Harm,228
2021,December,Frankston,Females,High Harm,383
2021,December,Frankston,Females,Low Harm,"1,135"
2021,December,Frankston,Females,Medium Harm,610
2021,December,Frankston,Males,High Harm,359
2021,December,Frankston,Males,Low Harm,"1,386"
2021,December,Frankston,Males,Medium Harm,530
2021,December,Gannawarra,Females,High Harm,34
2021,December,Gannawarra,Females,Low Harm,53
2021,December,Gannawarra,Females,Medium Harm,44
2021,December,Gannawarra,Males,High Harm,22
2021,December,Gannawarra,Males,Low Harm,85
2021,December,Gannawarra,Males,Medium Harm,36
2021,December,Glen Eira,Females,High Harm,189
2021,December,Glen Eira,Females,Low Harm,"1,000"
2021,December,Glen Eira,Females,Medium Harm,304
2021,December,Glen Eira,Males,High Harm,160
2021,December,Glen Eira,Males,Low Harm,"1,569"
2021,December,Glen Eira,Males,Medium Harm,378
2021,December,Glenelg,Females,High Harm,85
2021,December,Glenelg,Females,Low Harm,115
2021,December,Glenelg,Females,Medium Harm,70
