Year,Year ending,Local Government Area,Sex,Alleged Offender Incidents
2021,December,Queenscliffe,Males,24
2021,December,South Gippsland,Females,121
2021,December,South Gippsland,Males,472
2021,December,Southern Grampians,Females,114
2021,December,Southern Grampians,Males,353
2021,December,Stonnington,Females,545
2021,December,Stonnington,Males,"2,227"
2021,December,Strathbogie,Females,44
2021,December,Strathbogie,Males,157
2021,December,Surf Coast,Females,111
2021,December,Surf Coast,Males,380
2021,December,Swan Hill,Females,284
2021,December,Swan Hill,Males,856
2021,December,Towong,Females,16
2021,December,Towong,Males,55
2021,December,Wangaratta,Females,209
2021,December,Wangaratta,Males,759
2021,December,Warrnambool,Females,310
2021,December,Warrnambool,Males,868
2021,December,Wellington,Females,394
2021,December,Wellington,Males,"1,223"
2021,December,West Wimmera,Females,15
2021,December,West Wimmera,Males,65
2021,December,Whitehorse,Females,459
2021,December,Whitehorse,Males,"1,678"
2021,December,Whittlesea,Females,973
2021,December,Whittlesea,Males,"3,577"
2021,December,Wodonga,Females,280
2021,December,Wodonga,Males,982
2021,December,Wyndham,Females,973
2021,December,Wyndham,Males,"3,894"
2021,December,Yarra,Females,691
2021,December,Yarra,Males,"2,644"
2021,December,Yarra Ranges,Females,495
2021,December,Yarra Ranges,Males,"1,854"
2021,December,Yarriambiack,Females,42
2021,December,Yarriambiack,Males,115
2020,December,Alpine,Females,41
2020,December,Alpine,Males,199
2020,December,Ararat,Females,173
2020,December,Ararat,Males,444
2020,December,Ballarat,Females,844
2020,December,Ballarat,Males,"2,570"
2020,December,Banyule,Females,736
2020,December,Banyule,Males,"2,552"
2020,December,Bass Coast,Females,227
2020,December,Bass Coast,Males,884
2020,December,Baw Baw,Females,454
2020,December,Baw Baw,Males,"1,525"
2020,December,Bayside,Females,376
2020,December,Bayside,Males,"1,225"
2020,December,Benalla,Females,115
2020,December,Benalla,Males,370
2020,December,Boroondara,Females,433
2020,December,Boroondara,Males,"1,733"
2020,December,Brimbank,Females,"1,575"
2020,December,Brimbank,Males,"6,021"
2020,December,Buloke,Females,33
2020,December,Buloke,Males,127
2020,December,Campaspe,Females,249
2020,December,Campaspe,Males,"1,094"
2020,December,Cardinia,Females,678
2020,December,Cardinia,Males,"2,451"
2020,December,Casey,Females,"1,897"
2020,December,Casey,Males,"7,071"
2020,December,Central Goldfields,Females,126
2020,December,Central Goldfields,Males,382
2020,December,Colac-Otway,Females,146
2020,December,Colac-Otway,Males,617
2020,December,Corangamite,Females,91
2020,December,Corangamite,Males,263
2020,December,Darebin,Females,"1,151"
2020,December,Darebin,Males,"4,143"
2020,December,East Gippsland,Females,518
2020,December,East Gippsland,Males,"1,740"
2020,December,Frankston,Females,"1,388"
2020,December,Frankston,Males,"4,843"
2020,December,Gannawarra,Females,114
2020,December,Gannawarra,Males,309
2020,December,Glen Eira,Females,531
2020,December,Glen Eira,Males,"1,804"
2020,December,Glenelg,Females,128
2020,December,Glenelg,Males,521
2020,December,Golden Plains,Females,33
2020,December,Golden Plains,Males,154
2020,December,Greater Bendigo,Females,890
2020,December,Greater Bendigo,Males,"3,193"
2020,December,Greater Dandenong,Females,"1,494"
2020,December,Greater Dandenong,Males,"6,267"
2020,December,Greater Geelong,Females,"1,852"
2020,December,Greater Geelong,Males,"5,865"
2020,December,Greater Shepparton,Females,727
2020,December,Greater Shepparton,Males,"2,503"
2020,December,Hepburn,Females,65
2020,December,Hepburn,Males,213
2020,December,Hindmarsh,Females,28
2020,December,Hindmarsh,Males,123
2020,December,Hobsons Bay,Females,453
2020,December,Hobsons Bay,Males,"1,746"
2020,December,Horsham,Females,221
2020,December,Horsham,Males,670
2020,December,Hume,Females,"1,823"
2020,December,Hume,Males,"6,976"
2020,December,Indigo,Females,35
2020,December,Indigo,Males,168
2020,December,Kingston,Females,931
2020,December,Kingston,Males,"3,102"
2020,December,Knox,Females,869
2020,December,Knox,Males,"3,088"
2020,December,Latrobe,Females,"1,355"
2020,December,Latrobe,Males,"4,040"
2020,December,Loddon,Females,44
2020,December,Loddon,Males,153
2020,December,Macedon Ranges,Females,215
2020,December,Macedon Ranges,Males,849
2020,December,Manningham,Females,290
2020,December,Manningham,Males,"1,153"
2020,December,Mansfield,Females,40
2020,December,Mansfield,Males,150
2020,December,Maribyrnong,Females,605
2020,December,Maribyrnong,Males,"2,377"
2020,December,Maroondah,Females,611
2020,December,Maroondah,Males,"2,215"
2020,December,Melbourne,Females,"3,300"
2020,December,Melbourne,Males,"11,070"
2020,December,Melton,Females,899
2020,December,Melton,Males,"3,741"
2020,December,Merri-bek,Females,810
2020,December,Merri-bek,Males,"3,531"
2020,December,Mildura,Females,690
2020,December,Mildura,Males,"2,143"
2020,December,Mitchell,Females,404
2020,December,Mitchell,Males,"1,422"
2020,December,Moira,Females,172
2020,December,Moira,Males,681
2020,December,Monash,Females,865
2020,December,Monash,Males,"3,124"
2020,December,Moonee Valley,Females,607
2020,December,Moonee Valley,Males,"2,382"
2020,December,Moorabool,Females,212
2020,December,Moorabool,Males,842
2020,December,Mornington Peninsula,Females,"1,012"
2020,December,Mornington Peninsula,Males,"3,532"
2020,December,Mount Alexander,Females,71
2020,December,Mount Alexander,Males,287
2020,December,Moyne,Females,47
2020,December,Moyne,Males,222
2020,December,Murrindindi,Females,63
2020,December,Murrindindi,Males,262
2020,December,Nillumbik,Females,164
2020,December,Nillumbik,Males,633
2020,December,Northern Grampians,Females,115
2020,December,Northern Grampians,Males,379
2020,December,Port Phillip,Females,914
2020,December,Port Phillip,Males,"3,440"
2020,December,Pyrenees,Females,27
2020,December,Pyrenees,Males,127
2020,December,Queenscliffe,Females,
2020,December,Queenscliffe,Males,
2020,December,South Gippsland,Females,130
2020,December,South Gippsland,Males,556
2020,December,Southern Grampians,Females,126
2020,December,Southern Grampians,Males,391
2020,December,Stonnington,Females,856
2020,December,Stonnington,Males,"3,089"
2020,December,Strathbogie,Females,40
2020,December,Strathbogie,Males,174
2020,December,Surf Coast,Females,98
2020,December,Surf Coast,Males,411
2020,December,Swan Hill,Females,263
2020,December,Swan Hill,Males,866
2020,December,Towong,Females,5
2020,December,Towong,Males,54
2020,December,Wangaratta,Females,217
2020,December,Wangaratta,Males,767
2020,December,Warrnambool,Females,329
2020,December,Warrnambool,Males,"1,042"
2020,December,Wellington,Females,452
2020,December,Wellington,Males,"1,456"
2020,December,West Wimmera,Females,9
2020,December,West Wimmera,Males,63
2020,December,Whitehorse,Females,606
2020,December,Whitehorse,Males,"2,194"
2020,December,Whittlesea,Females,"1,314"
2020,December,Whittlesea,Males,"5,112"
2020,December,Wodonga,Females,321
2020,December,Wodonga,Males,"1,127"
2020,December,Wyndham,Females,"1,287"
2020,December,Wyndham,Males,"5,451"
2020,December,Yarra,Females,993
2020,December,Yarra,Males,"3,878"
2020,December,Yarra Ranges,Females,692
2020,December,Yarra Ranges,Males,"2,551"
2020,December,Yarriambiack,Females,53
2020,December,Yarriambiack,Males,143
2019,December,Alpine,Females,36
2019,December,Alpine,Males,211
2019,December,Ararat,Females,108
2019,December,Ararat,Males,348
2019,December,Ballarat,Females,788
2019,December,Ballarat,Males,"2,351"
2019,December,Banyule,Females,650
2019,December,Banyule,Males,"2,285"
2019,December,Bass Coast,Females,175
2019,December,Bass Coast,Males,649
2019,December,Baw Baw,Females,327
2019,December,Baw Baw,Males,"1,278"
2019,December,Bayside,Females,247
2019,December,Bayside,Males,901
2019,December,Benalla,Females,116
2019,December,Benalla,Males,438
2019,December,Boroondara,Females,303
2019,December,Boroondara,Males,"1,313"
2019,December,Brimbank,Females,"1,291"
2019,December,Brimbank,Males,"4,651"
2019,December,Buloke,Females,9
2019,December,Buloke,Males,75
2019,December,Campaspe,Females,302
2019,December,Campaspe,Males,"1,012"
2019,December,Cardinia,Females,443
2019,December,Cardinia,Males,"1,809"
2019,December,Casey,Females,"1,510"
2019,December,Casey,Males,"5,467"
2019,December,Central Goldfields,Females,125
2019,December,Central Goldfields,Males,331
2019,December,Colac-Otway,Females,126
2019,December,Colac-Otway,Males,488
2019,December,Corangamite,Females,49
2019,December,Corangamite,Males,194
2019,December,Darebin,Females,829
2019,December,Darebin,Males,"2,726"
2019,December,East Gippsland,Females,470
2019,December,East Gippsland,Males,"1,411"
2019,December,Frankston,Females,"1,188"
2019,December,Frankston,Males,"3,899"
2019,December,Gannawarra,Females,70
2019,December,Gannawarra,Males,305
2019,December,Glen Eira,Females,311
2019,December,Glen Eira,Males,"1,328"
2019,December,Glenelg,Females,124
2019,December,Glenelg,Males,503
2019,December,Golden Plains,Females,29
2019,December,Golden Plains,Males,126
2019,December,Greater Bendigo,Females,835
2019,December,Greater Bendigo,Males,"3,131"
2019,December,Greater Dandenong,Females,"1,320"
2019,December,Greater Dandenong,Males,"4,855"
2019,December,Greater Geelong,Females,"1,687"
2019,December,Greater Geelong,Males,"5,048"
2019,December,Greater Shepparton,Females,619
2019,December,Greater Shepparton,Males,"2,299"
2019,December,Hepburn,Females,53
2019,December,Hepburn,Males,223
2019,December,Hindmarsh,Females,15
2019,December,Hindmarsh,Males,95
2019,December,Hobsons Bay,Females,367
2019,December,Hobsons Bay,Males,"1,703"
2019,December,Horsham,Females,202
2019,December,Horsham,Males,587
2019,December,Hume,Females,"1,292"
2019,December,Hume,Males,"5,380"
2019,December,Indigo,Females,23
2019,December,Indigo,Males,136
2019,December,Kingston,Females,787
2019,December,Kingston,Males,"2,745"
2019,December,Knox,Females,739
2019,December,Knox,Males,"2,721"
2019,December,Latrobe,Females,"1,249"
2019,December,Latrobe,Males,"3,702"
2019,December,Loddon,Females,34
2019,December,Loddon,Males,107
2019,December,Macedon Ranges,Females,126
