Year,Year ending,Local Government Area,Age Group,Alleged Offender Incidents
2022,December,Loddon,40 - 44 years,17
2022,December,Loddon,45+ years,42
2022,December,Macedon Ranges,10 - 17 years,92
2022,December,Macedon Ranges,18 - 24 years,101
2022,December,Macedon Ranges,25 - 29 years,74
2022,December,Macedon Ranges,30 - 34 years,93
2022,December,Macedon Ranges,35 - 39 years,96
2022,December,Macedon Ranges,40 - 44 years,62
2022,December,Macedon Ranges,45+ years,162
2022,December,Manningham,10 - 17 years,176
2022,December,Manningham,18 - 24 years,172
2022,December,Manningham,25 - 29 years,132
2022,December,Manningham,30 - 34 years,189
2022,December,Manningham,35 - 39 years,142
2022,December,Manningham,40 - 44 years,129
2022,December,Manningham,45+ years,255
2022,December,Mansfield,10 - 17 years,7
2022,December,Mansfield,18 - 24 years,20
2022,December,Mansfield,25 - 29 years,16
2022,December,Mansfield,30 - 34 years,16
2022,December,Mansfield,35 - 39 years,10
2022,December,Mansfield,40 - 44 years,9
2022,December,Mansfield,45+ years,48
2022,December,Maribyrnong,10 - 17 years,202
2022,December,Maribyrnong,18 - 24 years,370
2022,December,Maribyrnong,25 - 29 years,378
2022,December,Maribyrnong,30 - 34 years,466
2022,December,Maribyrnong,35 - 39 years,347
2022,December,Maribyrnong,40 - 44 years,259
2022,December,Maribyrnong,45+ years,540
2022,December,Maroondah,10 - 17 years,402
2022,December,Maroondah,18 - 24 years,497
2022,December,Maroondah,25 - 29 years,393
2022,December,Maroondah,30 - 34 years,390
2022,December,Maroondah,35 - 39 years,351
2022,December,Maroondah,40 - 44 years,347
2022,December,Maroondah,45+ years,590
2022,December,Melbourne,10 - 17 years,652
2022,December,Melbourne,18 - 24 years,"2,062"
2022,December,Melbourne,25 - 29 years,"1,613"
2022,December,Melbourne,30 - 34 years,"1,572"
2022,December,Melbourne,35 - 39 years,"1,505"
2022,December,Melbourne,40 - 44 years,"1,176"
2022,December,Melbourne,45+ years,"1,892"
2022,December,Melton,10 - 17 years,473
2022,December,Melton,18 - 24 years,663
2022,December,Melton,25 - 29 years,470
2022,December,Melton,30 - 34 years,601
2022,December,Melton,35 - 39 years,534
2022,December,Melton,40 - 44 years,383
2022,December,Melton,45+ years,697
