Year,Year ending,Local Government Area,Harm Caused Flag,Age Group,Victim Reports
2022,December,Monash,Low Harm,25 - 44,"1,718"
2022,December,Monash,Low Harm,45+,"1,371"
2022,December,Monash,Medium Harm,00 - 24,347
2022,December,Monash,Medium Harm,25 - 44,473
2022,December,Monash,Medium Harm,45+,368
2022,December,Moonee Valley,High Harm,00 - 24,97
2022,December,Moonee Valley,High Harm,25 - 44,174
2022,December,Moonee Valley,High Harm,45+,117
2022,December,Moonee Valley,Low Harm,00 - 24,232
2022,December,Moonee Valley,Low Harm,25 - 44,"1,036"
2022,December,Moonee Valley,Low Harm,45+,903
2022,December,Moonee Valley,Medium Harm,00 - 24,121
2022,December,Moonee Valley,Medium Harm,25 - 44,376
2022,December,Moonee Valley,Medium Harm,45+,267
2022,December,Moorabool,High Harm,00 - 24,43
2022,December,Moorabool,High Harm,25 - 44,33
2022,December,Moorabool,High Harm,45+,27
2022,December,Moorabool,Low Harm,00 - 24,53
2022,December,Moorabool,Low Harm,25 - 44,187
2022,December,Moorabool,Low Harm,45+,223
2022,December,Moorabool,Medium Harm,00 - 24,53
2022,December,Moorabool,Medium Harm,25 - 44,96
2022,December,Moorabool,Medium Harm,45+,70
2022,December,Mornington Peninsula,High Harm,00 - 24,202
2022,December,Mornington Peninsula,High Harm,25 - 44,187
2022,December,Mornington Peninsula,High Harm,45+,207
2022,December,Mornington Peninsula,Low Harm,00 - 24,224
2022,December,Mornington Peninsula,Low Harm,25 - 44,747
2022,December,Mornington Peninsula,Low Harm,45+,"1,261"
2022,December,Mornington Peninsula,Medium Harm,00 - 24,226
2022,December,Mornington Peninsula,Medium Harm,25 - 44,299
2022,December,Mornington Peninsula,Medium Harm,45+,346
2022,December,Mount Alexander,High Harm,00 - 24,19
2022,December,Mount Alexander,High Harm,25 - 44,13
2022,December,Mount Alexander,High Harm,45+,14
2022,December,Mount Alexander,Low Harm,00 - 24,12
2022,December,Mount Alexander,Low Harm,25 - 44,48
2022,December,Mount Alexander,Low Harm,45+,135
2022,December,Mount Alexander,Medium Harm,00 - 24,19
2022,December,Mount Alexander,Medium Harm,25 - 44,31
2022,December,Mount Alexander,Medium Harm,45+,49
2022,December,Moyne,High Harm,00 - 24,18
2022,December,Moyne,High Harm,25 - 44,18
2022,December,Moyne,High Harm,45+,24
2022,December,Moyne,Low Harm,00 - 24,9
2022,December,Moyne,Low Harm,25 - 44,43
2022,December,Moyne,Low Harm,45+,96
2022,December,Moyne,Medium Harm,00 - 24,15
2022,December,Moyne,Medium Harm,25 - 44,13
2022,December,Moyne,Medium Harm,45+,24
2022,December,Murrindindi,High Harm,00 - 24,10
2022,December,Murrindindi,High Harm,25 - 44,16
2022,December,Murrindindi,High Harm,45+,10
2022,December,Murrindindi,Low Harm,00 - 24,14
2022,December,Murrindindi,Low Harm,25 - 44,42
2022,December,Murrindindi,Low Harm,45+,113
2022,December,Murrindindi,Medium Harm,00 - 24,20
2022,December,Murrindindi,Medium Harm,25 - 44,32
2022,December,Murrindindi,Medium Harm,45+,32
2022,December,Nillumbik,High Harm,00 - 24,53
2022,December,Nillumbik,High Harm,25 - 44,35
2022,December,Nillumbik,High Harm,45+,30
2022,December,Nillumbik,Low Harm,00 - 24,39
2022,December,Nillumbik,Low Harm,25 - 44,145
2022,December,Nillumbik,Low Harm,45+,213
2022,December,Nillumbik,Medium Harm,00 - 24,41
2022,December,Nillumbik,Medium Harm,25 - 44,85
2022,December,Nillumbik,Medium Harm,45+,77
2022,December,Northern Grampians,High Harm,00 - 24,17
2022,December,Northern Grampians,High Harm,25 - 44,29
